number,family,P_rot_h,shape,quality_U,status
24687,Hungaria,4.0981,Dd,2,CONFIRMED
76865,Hungaria,2.2942,S,2,CONFIRMED
200474,Hungaria,7.1426,Dd,2,CONFIRMED
86420,Hungaria,8.211,Sq,2,CONFIRMED
74511,Hungaria,16.8991,Sq,2,CONFIRMED
10667,Hungaria,20.2932,Sq,2,CONFIRMED
147449,Hungaria,33.555,D,2,CONFIRMED
39866,Hungaria,44.7738,D,2,CONFIRMED
92227,Hungaria,93.12,2P,2,CONFIRMED
58098,Hungaria,56.5441,D,2,CONFIRMED
23452,Hungaria,3.772,Dd,2,CONFIRMED
71737,Hungaria,4.2921,Dd,1,CANDIDATE
97779,Hungaria,7.0108,Dd,1,CANDIDATE
55720,Hungaria,10.4668,Dd,1,CANDIDATE
53422,Hungaria,26.6024,Dd,2,CONFIRMED
45825,Hungaria,33.7133,Dd,1,CANDIDATE
56351,Hungaria,33.8883,Dd,1,CANDIDATE
43357,Hungaria,34.0497,Dd,2,CONFIRMED
66195,Hungaria,52.4002,2P,2,CONFIRMED
3852,Themis,5.798,2P,2,CONFIRMED
3071,Themis,5.14,1P,2,CONFIRMED
3208,Themis,7.472,1P,2,CONFIRMED
2863,Themis,5.251,1P,2,CONFIRMED
5225,Themis,71.266,2P,2,CONFIRMED
30968,Phocaea,4.151,1P,2,CONFIRMED
15315,Phocaea,12.942,2P,2,CONFIRMED
29909,Phocaea,14.38,2P,2,CONFIRMED
19290,Phocaea,65.015,2P,2,CONFIRMED
19169,Phocaea,87.546,2P,2,CONFIRMED
18070,Phocaea,111.7,2P,2,CONFIRMED
4482,Phocaea,53.1,1P,1-,MARGINAL
5465,Koronis,3.218,2P,2,CONFIRMED
2300,Koronis,2.143,1P,2,CONFIRMED
3545,Koronis,2.416,1P,2,CONFIRMED
4260,Koronis,29.24,1P,2,CONFIRMED
2092,Koronis,30.49,2P,2,CONFIRMED
10708,Koronis,3.098,2P,1,CANDIDATE
8049,Koronis,3.214,2P,2,CONFIRMED
13382,Koronis,1.868,1P,2,CONFIRMED
5809,Koronis,4.182,2P,2,CONFIRMED
7056,Agnia,61.906,2P,2,CONFIRMED
2967,Ursula,8.374,2P,2,CONFIRMED
30482,Ursula,4.335,1P,2,CONFIRMED
6079,Ursula,15.696,1P,2,CONFIRMED
14039,Ursula,2.641,1P,2,CONFIRMED
29931,Ursula,2.2917,1P,2,CONFIRMED
3630,Dora,9.329,2P,2,CONFIRMED
16549,Dora,10.217,2P,1,CANDIDATE
10292,Baptistina,2.419,1P,2,CONFIRMED
12537,Baptistina,11.0125,1P,1,CANDIDATE
7031,Baptistina,2.948,1P,1,CANDIDATE
6782,Hoffmeister,3.927,1P,2,CONFIRMED
4516,Hoffmeister,3.261,1P,1,CANDIDATE
5091,Hoffmeister,13.914,2P,2,CONFIRMED
7607,Hoffmeister,38.774,2P,2,CONFIRMED
6343,Veritas,14.117,1P,2,CONFIRMED
7612,Veritas,13.0243,1P,2,CONFIRMED
7231,Veritas,16.996,ambiguous,1,CANDIDATE
6978,Cameron,4.634,2P,2,CONFIRMED
19013,Cameron,4.437,1P,2,CONFIRMED
12315,Padua,2.781,1P,2,CONFIRMED
8450,Padua,5.306,2P,2,CONFIRMED
22719,Padua,4.777,2P,2,CONFIRMED
1285,main belt,15.24,1P,2,CONFIRMED
1887,main belt,70.18,2P,2,CONFIRMED
2122,main belt,8.9016,2P,2,CONFIRMED
2451,main belt,138.364,2P,2,CONFIRMED
2869,main belt,310.468,2P,2,CONFIRMED
2909,main belt,312.07,2P,2,CONFIRMED
3469,main belt,180.875,2P,2,CONFIRMED
3774,main belt,3.5724,2P,2,CONFIRMED
5975,main belt,12.262,2P,2,CONFIRMED
5977,main belt,42.44,2P,2,CONFIRMED
14720,main belt,108.08,2P,2,CONFIRMED
2828,main belt,3.803,2P,2,CONFIRMED
22790,main belt,19.262,2P,2,CONFIRMED
2350,main belt,3.016,1P,2,CONFIRMED
7887,main belt,55.856,1P,2,CONFIRMED
5167,main belt,2.6597,1P,2,CONFIRMED
3477,main belt,4.2,1P,2,CONFIRMED
2724,main belt,6.898,1P,2,CONFIRMED
5824,main belt,24.1,ambiguous,1,CANDIDATE
2024,main belt,167.52,2P,2,CONFIRMED
6808,main belt,7.996,2P,2,CONFIRMED
2866,main belt,130.77,2P,2,CONFIRMED
5463,main belt,60.07,2P,2,CONFIRMED
2711,main belt,32.44,1P,2,CONFIRMED
2810,main belt,1.525,1P,2,CONFIRMED
3949,main belt,3.622,2P,2,CONFIRMED
2736,main belt,9.38,1P,2,CONFIRMED
3371,main belt,64.848,1P,1,CANDIDATE
5777,main belt,2.556,1P,1,CANDIDATE
3520,main belt,2.8967,1P,1,CANDIDATE
7605,main belt,11.9368,2P,2,CONFIRMED
2352,main belt,41.181,2P,1,CANDIDATE
15427,main belt,39.45,1P,2,CONFIRMED
2601,main belt,191.52,ambiguous,1,CANDIDATE
4763,main belt,45.7,1P,2,CONFIRMED
1588,main belt,4.606,2P,2,CONFIRMED
11861,main belt,4.897,2P,1,CANDIDATE
1053,main belt,1.832,1P,2,CONFIRMED
3810,main belt,3.857,1P,2,CONFIRMED
2521,main belt,41.58,2P,1,CANDIDATE
3707,main belt,15.295,1P,2,CONFIRMED
2168,main belt,7.353,2P,1,CANDIDATE
3158,main belt,10.328,2P,2,CONFIRMED
2116,main belt,3.5381,2P,2,CONFIRMED
3405,main belt,13.997,2P,2,CONFIRMED
2553,main belt,5.374,1P,2,CONFIRMED
3840,main belt,22.549,1P,2,CONFIRMED
7068,main belt,144.992,2P,2,CONFIRMED
33717,main belt,50.31,2P,2,CONFIRMED
13388,main belt,305.594,2P,2,CONFIRMED
2826,main belt,7.181,1P,1,CANDIDATE
4331,main belt,73.68,1P,1,CANDIDATE
3184,main belt,33.46,1P,2,CONFIRMED
4088,main belt,6.454,2P,2,CONFIRMED
5805,main belt,5.185,2P,2,CONFIRMED
1381,main belt,5.258,2P,2,CONFIRMED
2690,main belt,2.66,1P,2,CONFIRMED
4164,main belt,109.468,2P,1,CANDIDATE
7588,main belt,17.7,1P,1,CANDIDATE
5818,main belt,10.23,2P,1,CANDIDATE
3768,main belt,28.1551,1P,1,CANDIDATE
6286,main belt,13.2124,1P,1,CANDIDATE
4617,main belt,14.9178,2P,1,CANDIDATE
10164,main belt,3.3126,2P,1,CANDIDATE
4203,main belt,3.3831,1P,1,CANDIDATE
16785,main belt,139.885,1P,1,CANDIDATE
5113,main belt,2.3786,1P,1,CANDIDATE
5600,main belt,3.5056,1P,1,CANDIDATE
5480,main belt,23.11,2P,2,CONFIRMED
46992,main belt,53.8038,2P,1,CANDIDATE
2538,main belt,53.422,2P,2,CONFIRMED
5768,main belt,8.14,2P,2,CONFIRMED
13081,main belt,2.719,1P,1,CANDIDATE
5162,main belt,12.756,2P,2,CONFIRMED
5504,main belt,13.952,1P,2,CONFIRMED
10017,main belt,12.05,1P,2,CONFIRMED
1948,main belt,10.7722,2P,1,CANDIDATE
3650,main belt,12.3672,2P,1,CANDIDATE
58143,main belt,39.16,1P,1,CANDIDATE
10226,main belt,5.06,1P,2,CONFIRMED
5914,main belt,99.0,1P,1,CANDIDATE
5278,main belt,4.996,2P,2,CONFIRMED
3993,main belt,34.468,2P,2,CONFIRMED
1519,main belt,27.35,1P,2,CONFIRMED
1485,main belt,17.8756,1P,1,CANDIDATE
2124,main belt,3.1227,2P,1,CANDIDATE
2465,main belt,16.4918,1P,1,CANDIDATE
2805,main belt,4.3677,1P,1,CANDIDATE
2878,main belt,10.2427,1P,1,CANDIDATE
3246,main belt,3.592,1P,2,CONFIRMED
3594,main belt,2.304,1P,2,CONFIRMED
4001,main belt,5.009,2P,1,CANDIDATE
5051,main belt,7.2598,1P,2,CONFIRMED
5074,main belt,6.331,1P,2,CONFIRMED
