num,family,status,P_ours,shape,lit_period,lit_sources,lit_status,sbdb_period,novelty
1053,main belt,CONFIRMED,1.832,1P,3.6641,Ďurech+2022a,PUBLISHED_SINGLE,,HARMONIC-RESOLUTION
1285,main belt,CONFIRMED,15.24,1P,,,VIRGIN,20.3,HARMONIC-RESOLUTION
1381,main belt,CONFIRMED,5.258,2P,5.2578,Cellino+2024;Lam+2023;Ďurech+2020;Ďurech+2022a,CONTESTED,5.25764,CONFIRMATION
1395,main belt,CANDIDATE,22.2611,1P,,,VIRGIN,,FIRST-DETERMINATION
1485,main belt,CANDIDATE,17.8756,1P,19.5239,Lam+2023;Ďurech+2022a,CONTESTED,,ARBITRATION(contested-lit)
1519,main belt,CONFIRMED,27.35,1P,,,VIRGIN,,FIRST-DETERMINATION
1588,main belt,CONFIRMED,4.606,2P,4.6068,Cellino+2024;Hung+2022;Lam+2023;Ďurech&Hanuš2023;Ďurech+2022a,PUBLISHED_AGREEING,,CONFIRMATION
1887,main belt,CONFIRMED,70.18,2P,70.1700,Ďurech+2022a,PUBLISHED_SINGLE,,CONFIRMATION
1948,main belt,CANDIDATE,10.7722,2P,,,VIRGIN,,FIRST-DETERMINATION
2024,main belt,CONFIRMED,167.52,2P,,,VIRGIN,1.15,SUPERSEDES-LIT
2092,Koronis,CONFIRMED,30.49,2P,30.5210,Ďurech+2022a,PUBLISHED_SINGLE,,CONFIRMATION
2116,main belt,CONFIRMED,3.5381,2P,3.5081,Lam+2023,PUBLISHED_SINGLE,,CONFIRMATION
2122,main belt,CONFIRMED,8.9016,2P,8.9003,Waszczak+2015;Ďurech+2022a,PUBLISHED_AGREEING,8.899,CONFIRMATION
2124,main belt,CANDIDATE,3.1227,2P,,,VIRGIN,,FIRST-DETERMINATION
2168,main belt,CANDIDATE,7.353,2P,7.3350,Hawley+2025;Lam+2023;Ďurech&Hanuš2023,CONTESTED,,CONFIRMATION
2300,Koronis,CONFIRMED,2.143,1P,4.2805,Lam+2023;Ďurech+2022a,PUBLISHED_AGREEING,,HARMONIC-RESOLUTION
2350,main belt,CONFIRMED,3.016,1P,,,VIRGIN,,FIRST-DETERMINATION
2352,main belt,CANDIDATE,41.181,2P,,,VIRGIN,12.0,SUPERSEDES-LIT
2451,main belt,CONFIRMED,138.364,2P,3.2913,Lam+2023,PUBLISHED_SINGLE,48.0,SUPERSEDES-LIT
2465,main belt,CANDIDATE,16.4918,1P,,,VIRGIN,,FIRST-DETERMINATION
2521,main belt,CANDIDATE,41.58,2P,41.5685,Ďurech&Hanuš2023;Ďurech+2022a,PUBLISHED_AGREEING,12.0,CONFIRMATION
2538,main belt,CONFIRMED,53.422,2P,53.4115,Eglitis&Svincicka2025;Svincicka+2024,PUBLISHED_AGREEING,,CONFIRMATION
2553,main belt,CONFIRMED,5.374,1P,10.7480,Cellino+2024;Lam+2023;Ďurech+2022a,PUBLISHED_AGREEING,,HARMONIC-RESOLUTION
2601,main belt,CANDIDATE,191.52,ambiguous,,,VIRGIN,,FIRST-DETERMINATION
2690,main belt,CONFIRMED,2.66,1P,5.3197,Ďurech&Hanuš2023;Ďurech+2022a,PUBLISHED_AGREEING,,HARMONIC-RESOLUTION
2711,main belt,CONFIRMED,32.44,1P,,,VIRGIN,,FIRST-DETERMINATION
2724,main belt,CONFIRMED,6.898,1P,13.788,MPB 51-3,PUBLISHED_SINGLE,,CONFIRMATION
2736,main belt,CONFIRMED,9.38,1P,,,VIRGIN,10.7,SUPERSEDES-LIT
2805,main belt,CANDIDATE,4.3677,1P,,,VIRGIN,,FIRST-DETERMINATION
2810,main belt,CONFIRMED,1.525,1P,,,VIRGIN,,FIRST-DETERMINATION
2826,main belt,CANDIDATE,7.181,1P,14.3846,Ďurech&Hanuš2023,PUBLISHED_SINGLE,24.0,HARMONIC-RESOLUTION
2828,main belt,CONFIRMED,3.803,2P,,,VIRGIN,,FIRST-DETERMINATION
2863,Themis,CONFIRMED,5.251,1P,,,VIRGIN,,FIRST-DETERMINATION
2866,main belt,CONFIRMED,130.77,2P,,,VIRGIN,,FIRST-DETERMINATION
2869,main belt,CONFIRMED,310.468,2P,,,VIRGIN,311.3,CONFIRMATION
2878,main belt,CANDIDATE,10.2427,1P,21.0198,Lam+2023;Ďurech+2022a,CONTESTED,,HARMONIC-RESOLUTION
2886,main belt,CANDIDATE,107.228,2P,,,VIRGIN,12.0,SUPERSEDES-LIT
2909,main belt,CONFIRMED,312.07,2P,311.3000,Hanuš+2021,PUBLISHED_SINGLE,,CONFIRMATION
2967,Ursula,CONFIRMED,8.374,2P,,,VIRGIN,,FIRST-DETERMINATION
3071,Themis,CONFIRMED,5.14,1P,10.2781,Cellino+2024;Ďurech&Hanuš2023,PUBLISHED_AGREEING,,HARMONIC-RESOLUTION
3158,main belt,CONFIRMED,10.328,2P,10.3220,Hanuš+2021;Lam+2023;Ďurech+2020,PUBLISHED_AGREEING,8.0,CONFIRMATION
3168,main belt,CONFIRMED,3.237,1P,,,VIRGIN,,FIRST-DETERMINATION
3184,main belt,CONFIRMED,33.46,1P,170.8675,Cellino+2024;Waszczak+2015,CONTESTED,274.944,ARBITRATION(contested-lit)
3208,Themis,CONFIRMED,7.472,1P,,,VIRGIN,,FIRST-DETERMINATION
3246,main belt,CONFIRMED,3.592,1P,5.8007,Lam+2023,PUBLISHED_SINGLE,,SUPERSEDES-LIT
3278,main belt,CONFIRMED,5.621,1P,11.2434,Ďurech&Hanuš2023,PUBLISHED_SINGLE,,HARMONIC-RESOLUTION
3371,main belt,CANDIDATE,64.848,1P,,,VIRGIN,,FIRST-DETERMINATION
3396,main belt,CONFIRMED,61.963,1P,,,VIRGIN,,FIRST-DETERMINATION
3405,main belt,CONFIRMED,13.997,2P,14.0082,Ďurech&Hanuš2023;Ďurech+2022a,PUBLISHED_AGREEING,,CONFIRMATION
3469,main belt,CONFIRMED,180.875,2P,180.7600,Ďurech+2020;Ďurech+2022a,PUBLISHED_AGREEING,6.48,CONFIRMATION
3477,main belt,CONFIRMED,4.2,1P,,,VIRGIN,,FIRST-DETERMINATION
3520,main belt,CANDIDATE,2.8967,1P,,,VIRGIN,,FIRST-DETERMINATION
3532,main belt,CONFIRMED,12.316,1P,,,VIRGIN,,FIRST-DETERMINATION
3545,Koronis,CONFIRMED,2.416,1P,,,VIRGIN,,FIRST-DETERMINATION
3594,main belt,CONFIRMED,2.304,1P,,,VIRGIN,,FIRST-DETERMINATION
3630,Dora,CONFIRMED,9.329,2P,,,VIRGIN,,FIRST-DETERMINATION
3636,main belt (survey),CANDIDATE,2.571,1P,5.141,MPB 52-4,PUBLISHED_SINGLE,,CONFIRMATION
3650,main belt,CANDIDATE,12.3672,2P,12.4270,Hanuš+2021;Lam+2023,PUBLISHED_AGREEING,,CONFIRMATION
3707,main belt,CONFIRMED,15.295,1P,30.5078,McNeill+2023,PUBLISHED_SINGLE,,HARMONIC-RESOLUTION
3768,main belt,CANDIDATE,28.1551,1P,56.5630,Lam+2023,PUBLISHED_SINGLE,,HARMONIC-RESOLUTION
3774,main belt,CONFIRMED,3.5724,2P,3.5724,Ďurech+2022a,PUBLISHED_SINGLE,,CONFIRMATION
3810,main belt,CONFIRMED,3.857,1P,18.7615,McNeill+2023;Pál+2020;Vavilov&Carry2025;Waszczak+2015,CONTESTED,7.70956,HARMONIC-RESOLUTION
3828,main belt,CONFIRMED,3.3204,2P,3.3208,Cellino+2024;Lam+2023;Ďurech&Hanuš2023;Ďurech+2022a,CONTESTED,,CONFIRMATION
3840,main belt,CONFIRMED,22.549,1P,43.4368,Cellino+2024;Lam+2023,CONTESTED,,ARBITRATION(contested-lit)
3846,main belt,CANDIDATE,5.1719,1P,10.3446,Ďurech+2022a,PUBLISHED_SINGLE,,HARMONIC-RESOLUTION
3852,Themis,CONFIRMED,5.798,2P,5.7979,Ďurech&Hanuš2023,PUBLISHED_SINGLE,,CONFIRMATION
3858,main belt,CONFIRMED,7.088,2P,,,VIRGIN,,FIRST-DETERMINATION
3949,main belt,CONFIRMED,3.622,2P,,,VIRGIN,,FIRST-DETERMINATION
3993,main belt,CONFIRMED,34.468,2P,18.9940,Lam+2023;Ďurech+2022a,CONTESTED,,ARBITRATION(contested-lit)
4001,main belt,CANDIDATE,5.009,2P,,,VIRGIN,,FIRST-DETERMINATION
4062,main belt,CONFIRMED,34.221,1P,,,VIRGIN,,FIRST-DETERMINATION
4088,main belt,CONFIRMED,6.454,2P,6.4527,Lam+2023;Ďurech&Hanuš2023;Ďurech+2022a,CONTESTED,,CONFIRMATION
4118,main belt,CONFIRMED,4.367,1P,,,VIRGIN,,FIRST-DETERMINATION
4164,main belt,CANDIDATE,109.468,2P,18.5000,Angeli+1996;Warner2017a;Ďurech+2022a,CONTESTED,18.5,ARBITRATION(contested-lit)
4203,main belt,CANDIDATE,3.3831,1P,158.5911,McNeill+2023,PUBLISHED_SINGLE,,SUPERSEDES-LIT
4208,main belt,CANDIDATE,14.2839,1P,28.5815,Cellino+2024;Ďurech&Hanuš2023,PUBLISHED_AGREEING,,HARMONIC-RESOLUTION
4253,main belt,CONFIRMED,2.296,1P,2.397,MPB 51-2,PUBLISHED_SINGLE,,CONFIRMATION
4260,Koronis,CONFIRMED,29.24,1P,,,VIRGIN,,FIRST-DETERMINATION
4331,main belt,CANDIDATE,73.68,1P,73.4700,Ďurech+2022a,PUBLISHED_SINGLE,,CONFIRMATION
4367,main belt (survey),CONFIRMED,3.226,2P,3.2255,MPB 52-2,PUBLISHED_SINGLE,,CONFIRMATION
4482,Phocaea,MARGINAL,53.1,1P,,,VIRGIN,,FIRST-DETERMINATION
4516,Hoffmeister,CANDIDATE,3.261,1P,3.2622,Ďurech+2022a,PUBLISHED_SINGLE,,CONFIRMATION
4597,main belt,CONFIRMED,4.44,1P,,,VIRGIN,,FIRST-DETERMINATION
4617,main belt,CANDIDATE,14.9178,2P,14.9160,Cellino+2024;Ďurech&Hanuš2023;Ďurech+2022a,PUBLISHED_AGREEING,,CONFIRMATION
4671,main belt,CANDIDATE,3.833,2P,,,VIRGIN,,FIRST-DETERMINATION
4698,main belt,CONFIRMED,158.302,2P,158.5400,Hanuš+2021,PUBLISHED_SINGLE,,CONFIRMATION
4725,main belt,CANDIDATE,137.363,2P,,,,,FIRST-DETERMINATION
4763,main belt,CONFIRMED,45.7,1P,91.1880,Cellino+2024,PUBLISHED_SINGLE,,HARMONIC-RESOLUTION
5051,main belt,CONFIRMED,7.2598,1P,,,VIRGIN,,FIRST-DETERMINATION
5074,main belt,CONFIRMED,6.331,1P,12.6635,Cellino+2024;Ďurech&Hanuš2023;Ďurech+2022a,PUBLISHED_AGREEING,,HARMONIC-RESOLUTION
5091,Hoffmeister,CONFIRMED,13.914,2P,13.9147,Chang+2016;Ďurech&Hanuš2023;Ďurech+2022a,TWOX_AMBIG,13.62,CONFIRMATION
5109,main belt,CANDIDATE,45.3887,1P,,,VIRGIN,,FIRST-DETERMINATION
5113,main belt,CANDIDATE,2.3786,1P,522.1102,McNeill+2023,PUBLISHED_SINGLE,,SUPERSEDES-LIT(artifact)
5162,main belt,CONFIRMED,12.756,2P,12.7527,Cellino+2024;Ďurech&Hanuš2023,PUBLISHED_AGREEING,,CONFIRMATION
5167,main belt,CONFIRMED,2.6597,1P,5.3204,MPB 51-4,PUBLISHED_SINGLE,,CONFIRMATION
5185,main belt,CONFIRMED,102.3,1P,204.1000,Ďurech+2022a,PUBLISHED_SINGLE,,HARMONIC-RESOLUTION
5203,main belt,CONFIRMED,6.934,2P,6.9320,Cellino+2024;Hanuš+2021;Hawley+2025;Lam+2023;Ďurech&Hanuš2023,PUBLISHED_AGREEING,,CONFIRMATION
5225,Themis,CONFIRMED,71.266,2P,71.1290,Ďurech+2022a,PUBLISHED_SINGLE,,CONFIRMATION
5278,main belt,CONFIRMED,4.996,2P,,,VIRGIN,,FIRST-DETERMINATION
5297,main belt,CONFIRMED,53.46,1P,69.4710,Cellino+2024,PUBLISHED_SINGLE,,SUPERSEDES-LIT(artifact)
5463,main belt,CONFIRMED,60.07,2P,,,VIRGIN,,FIRST-DETERMINATION
5465,Koronis,CONFIRMED,3.218,2P,3.2090,Cellino+2024,PUBLISHED_SINGLE,,CONFIRMATION
5480,main belt,CONFIRMED,23.11,2P,11.5392,Lam+2023,PUBLISHED_SINGLE,,HARMONIC-RESOLUTION
5504,main belt,CONFIRMED,13.952,1P,,,VIRGIN,,FIRST-DETERMINATION
5576,main belt,CONFIRMED,12.094,1P,,,VIRGIN,,FIRST-DETERMINATION
5600,main belt,CANDIDATE,3.5056,1P,7.0099,Ďurech+2022a,PUBLISHED_SINGLE,,HARMONIC-RESOLUTION
5768,main belt,CONFIRMED,8.14,2P,8.1409,Lam+2023;Ďurech&Hanuš2023;Ďurech+2022a,PUBLISHED_AGREEING,,CONFIRMATION
5777,main belt,CANDIDATE,2.556,1P,,,VIRGIN,,FIRST-DETERMINATION
5793,main belt,CONFIRMED,3.0396,2P,3.0385,Ďurech+2022a,PUBLISHED_SINGLE,,CONFIRMATION
