Number,Name,date_first,date_last,phase_first,phase_last,PABLon,PABLat,Period_h,PE,Amp,AE,Grp,U,Cls,Sid
1053,Vigdis,2020 02/19,2025 05/06,4.3,2.7,229.0,-5.0,1.832,0.0029,0.34,,MB,2,HR,
1285,Julietta,2021 08/21,2025 05/01,6.2,8.0,343.0,3.0,15.24,0.21,0.08,,MB,2,HR,
1381,Danubia,2020 07/05,2022 01/27,5.4,8.5,110.0,6.0,5.258,0.022,0.59,,MB,2,C,
1519,Kajaani,2021 09/06,2025 04/29,5.1,4.0,208.0,-3.0,27.35,0.77,0.39,,MB,2,FD,
1588,Descamisada,2020 07/21,2020 07/29,2.2,4.4,298.0,-5.0,4.606,0.054,0.81,,MB,2,C,
1887,Virton,2020 01/21,2023 10/15,6.6,3.4,138.0,6.0,70.18,3.9,0.33,,MB,2,C,sid
2024,McLaughlin,2023 09/21,2023 11/10,23.5,3.2,43.0,-6.0,167.52,23.0,,,MB,2,S,
2092,Sumiana,2023 11/11,2025 05/06,19.6,6.3,139.0,3.0,30.49,0.77,0.41,,Koronis,2,C,sid
2116,Mtskheta,2021 08/21,2021 09/15,23.2,18.3,32.0,-6.0,3.5381,0.01,0.23,,MB,2,C,
2122,Pyatiletka,2023 09/20,2023 11/10,24.1,9.9,62.0,-8.0,8.9016,0.068,,,MB,2,C,
2300,Stebbins,2021 10/22,2021 12/29,20.9,10.8,121.0,3.0,2.143,0.004,0.3,,Koronis,2,HR,
2350,von,2021 11/07,2021 12/29,29.2,23.1,139.0,-2.0,3.016,0.0074,0.19,,MB,2,FD,
2451,Dollfus,2021 08/21,2025 06/02,22.0,25.9,36.0,8.0,138.364,16.0,0.55,,MB,2,S,
2538,Vanderlinden,2021 08/21,2021 10/11,27.6,12.3,31.0,-3.0,53.422,2.3,0.38,,MB,2,C,
2553,Viljev,2022 03/07,2022 03/25,5.5,2.6,181.0,6.0,5.374,0.032,0.2,,MB,2,HR,
2690,Ristiina,2020 09/23,2025 09/14,9.7,3.9,19.0,-13.0,2.66,0.0056,,,MB,2,HR,
2711,Aleksandrov,2020 09/23,2021 12/29,8.5,6.9,19.0,-9.0,32.44,0.82,0.21,,MB,2,FD,
2724,Orlov,2023 09/20,2023 10/15,9.3,1.9,19.0,-3.0,6.898,0.04,0.24,,MB,2,FD,
2736,Ops,2021 08/21,2024 08/09,26.3,7.5,309.0,9.0,9.38,0.071,0.17,,MB,2,S,
2810,Lev,2024 09/05,2026 02/01,3.8,8.2,346.0,7.0,1.525,0.0039,0.2,,MB,2,FD,
2828,Iku-Turso,2021 08/21,2021 11/05,28.0,10.0,54.0,-2.0,3.803,0.012,0.18,,MB,2,FD,
2863,Ben,2021 09/16,2025 05/06,19.8,5.5,241.0,2.0,5.251,0.023,0.52,,Themis,2,FD,
2866,Hardy,2021 08/21,2021 10/11,24.4,14.7,43.0,9.0,130.77,14.0,,,MB,2,FD,
2869,Nepryadva,2019 11/03,2023 10/15,8.9,5.0,28.0,8.0,310.468,80.0,0.65,,MB,2,C,
2909,Hoshi-no-ie,2023 11/11,2025 05/06,14.8,6.3,242.0,6.0,312.07,76.0,0.52,,MB,2,C,sid
2967,Vladisvyat,2020 03/21,2023 11/10,3.6,2.7,240.0,-10.0,8.374,0.055,0.62,,Ursula,2,FD,
3071,Nesterov,2021 08/21,2025 04/16,4.1,1.2,340.0,-1.0,5.14,0.03,0.55,,Themis,2,HR,
3158,Anga,2021 08/21,2021 10/11,24.7,11.4,33.0,-4.0,10.328,0.087,0.47,,MB,2,C,
3168,Lomnicky,2021 08/21,2023 01/05,18.9,4.5,26.0,-1.0,3.237,0.0087,0.23,,MB,2,FD,
3184,Raab,2022 03/26,2023 08/24,5.2,7.0,195.0,10.0,33.46,0.89,0.48,,MB,2,A,
3208,Lunn,2021 08/22,2025 05/06,0.7,4.1,112.0,-1.0,7.472,0.049,0.14,,Themis,2,FD,
3246,Bidstrup,2021 02/09,2022 05/17,9.1,6.3,159.0,-18.0,3.592,0.011,0.27,,MB,2,S,
3278,Behounek,2023 10/16,2023 12/06,17.8,9.0,98.0,2.0,5.621,0.027,0.24,,MB,2,HR,
3396,Muazzez,2020 07/05,2021 11/05,8.8,2.2,44.0,-1.0,61.963,3.2,0.1,,MB,2,FD,
3405,Daiwensai,2021 02/10,2025 02/10,6.7,8.8,125.0,-15.0,13.997,0.16,0.1,,MB,2,C,
3469,Bulgakov,2021 02/10,2021 03/06,5.3,6.5,151.0,-10.0,180.875,28.0,0.86,,MB,2,C,
3477,Kazbegi,2023 10/14,2023 11/10,15.5,4.5,54.0,-6.0,4.2,0.016,0.21,,MB,2,FD,
3532,Tracie,2020 07/05,2025 06/02,7.2,16.3,297.0,-9.0,12.316,0.12,0.08,,MB,2,FD,
3545,Gaffey,2021 11/08,2021 12/29,18.7,6.8,114.0,2.0,2.416,0.0053,0.32,,Koronis,2,FD,
3594,Scotti,2021 09/07,2023 01/17,1.2,11.0,100.0,17.0,2.304,0.0043,0.25,,MB,2,FD,
3630,Lubomir,2021 08/21,2021 09/25,17.0,2.7,3.0,4.0,9.329,0.074,0.38,,Dora,2,FD,
